Full Name,Company Name,Job Title,Talk Title,Abstract,What You'll Learn,Prerequiste Knowledge (if required),Track,Technical Level (1-7),Category 1,Top 3 keywords (in order),Bio,YouTube Link,Relevant Industries,What is Unique about your session,Event,YouTube ID
Amrit Krishnan,Vector Institute,Senior Applied Machine Learning Specialist,An open-source approach to build guardrails for deploying ML models in healthcare,"The use of ML in healthcare applications is rising steadily. Deployment of these systems requires a responsible approach, and regulation is lagging behind. 
At the Vector Institute, in strong collaboration with our stakeholders, we are building an open-source software framework to address this gap. Specifically, we are focussing on rigorous
evaluation and monitoring of the ML system across patient sub-populations. We will show how we can generate evaluation and monitoring reports for end-users, using two use cases. 
Additionally, we will also discuss challenges in implementing monitoring sub-systems in healthcare settings. ","You will learn how to use an open-source toolkit to develop ML models on health data, with a focus on deployment and workflow integration.","Clinical data, ML, Software development, Open-source",Workshop,5.0,Deployment and integration,"ML in Healthcare, Open-Source Framework, Evaluation and Monitoring","Amrit is a Senior Applied ML Specialist at the Vector Institute, currently working on building tools for enabling ML deployment for healthcare. Amrit is passionate about Healthcare ML, Robotics, Open-Source and Software Engineering for productionizing ML systems.",https://www.youtube.com/watch?v=5w0kndFWuI8,,,TMLS 2023,5w0kndFWuI8
Suhas Pai,"        
Hudson Labs",CTO,Making RAG (Retrieval Augmented Generation) Work,"The RAG (Retrieval Augmented Generation) paradigm drives a large proportion of LLM-based applications. However, getting RAG to work beyond prototypes is a challenging ordeal. In this talk, we will go through some of the common pitfalls encountered when implementing RAG along with techniques to alleviate them. We will showcase how robustness can be built into the design of the RAG pipeline and how to balance them against factors like latency and cost."," What can go wrong with RAG?

Techniques to alleviate RAG shortcomings - specifically, tightly coupled models, layout and context-aware fine-tuned embeddings, retrieval text refinement, query expansion, and interleaved retrieval.",,Applied Case Studies,6.0,Deployment and integration,"RAG Pitfalls, Alleviation Techniques, RAG Pipeline Robustness
","Suhas Pai is a NLP researcher and co-founder/CTO at Hudson Labs a Toronto based startup. At Hudson Labs, he works on text ranking, representation learning, and productionizing LLMs. He is also currently writing a book on Designing Large Language Model Applications with O'Reilly Media. Suhas has been active in the ML community, being the Chair of the TMLS (Toronto Machine Learning Summit) conference since 2021 and also NLP lead at Aggregate Intellect (AISC). He was also co-lead of the Privacy working group at Big Science, as part of the BLOOM open-source LLM project.",https://www.youtube.com/watch?v=VSxjENFFZLc,"Banking & Financial Services, Computer Software, Other
",,TMLS 2024,VSxjENFFZLc
Robinson Garcia,Petrobras,R&D Project Manager & Technology Specialist,Digital Twin as a tool for Industrial Asset Management,"Valued at 500 million CAD, Asset360 is a solution that improves efficiency and reduces the maintenance backlog of offshore installations at Petrobras. The project started back in 2018 after successful experiments with semantic segmentation, and after the signature of two cooperation terms with a partner university. We have built a Streetview-like platform and an information extraction solution over the past two years (+4000 registered users). Currently, we are experimenting with Human in the loop learning, recommendation system, and multi-objective optimization to increase value creation.  Our moonshot is to create a two-sided platform that reduces the distance between specialized developer partners (research labs and startups) and internal consumers.",,,Ignite Lighting Talk,,Performance optimization and efficiency,"Digital Twin, Industrial Asset Management, Human-in-the-Loop Learning","Robinson Garcia graduated in Mechanical Engineering (2006) and did his MBA at the Rotman School of Management (2018). He currently works at the Petrobras Research Center (Cenpes), leading cooperation agreements with universities and startups to develop solutions for industrial asset management.",https://www.youtube.com/watch?v=45AdHA54lZE,,,TMLS 2022,45AdHA54lZE
Hien Luu,DoorDash,Head of Machine Learning Platform,Scaling & Evolving the Machine Learning Platform at DoorDash,"As DoorDash business grows, the online ML prediction volume grows exponentially to support the various Machine Learning use cases, such as the ETA predictions, the Dasher assignments, the personalized restaurants and menu items recommendations, and the ranking of the large volume of search queries.

In this session, we will share our journey of building and scaling our Machine Learning platform and particularly the prediction service, the various optimizations experimented, lessons learned, technical decisions and tradeoffs made. We will also share how we measure success and how we set goals for the future.",The challenges and learning lessons from building an ML platform to support ML at scale,,Case Study,5.0,Introduction to MLOps and GenAI,,"Hien Luu is a Sr. Engineering Manager at DoorDash, leading the Machine Learning Platform team. He is particularly passionate about the intersection between Big Data and Artificial Intelligence. He is the author of the Beginning Apache Spark 3 book. He has given presentations at various conferences such as GHC 2022, Data+AI Summit, XAI 21 Summit, MLOps World, YOW Data!, appy(), QCon (SF,NY, London).",https://www.youtube.com/watch?v=cFEPajyQq0Q,"Computer Software, Food & Beverages, Information Technology & Service
","This is a case study about our journey of building ML platform at DoorDash
",TMLS 2022,cFEPajyQq0Q
Keri Olson,IBM,VP Product Management," Code Smarter, not harder: Generative AI in the Software Development Lifecycle",In this session we will dive into the quickly evolving landscape of AI coding assistants and how they play a pivotal role in the software development lifecycle (SDLC). Join us to learn how IBM watsonx Code Assistant serves as your AI-powered coding companion through examples and a live demo.," How to use a generative AI code assistant (IBM watsonx Code Assistant) to generate, query and document your code - and much more. Learn how to use the same tools to modernize legacy code (in Java) to create a modern code-base fit for today’s needs.",,Advanced Technical/Research,6.0,Introduction to MLOps and GenAI,"Generative AI, Software development lifecycle (SDLC), AI-powered coding assistant","Keri Olson is the Vice President of Product Management for IBM AI for Code and Head of Product for IBM watsonx Code Assistant. She has over 20 years of experience in enterprise software and has held roles in Product Management, Engineering, Operations, Transformation, and Corporate Consulting. Keri is passionate about software and product development, AI for Code, driving innovation, and building strong technical and business partnerships. She is based in Rochester Minnesota, and she enjoys volunteering in the community as well as mentoring technical and business professionals to help build the next generation of leaders.",https://www.youtube.com/watch?v=MyF2YadiODU,"Computer Software, Information Technology Services","Hands-on discussion of how generative AI is helping developers become much more productive to not only write new code but to also modernize existing, legacy code.",MLOps & GenAI World 2024,MyF2YadiODU
Lee Twito,Lemonade,GenAI Lead," Code Generation Agents: Architecture, Data Modeling Challenges, and Production-Ready Considerations"," This session provides an in-depth look at the architecture of multi-agent systems for code generation, emphasizing practical solutions to common data modeling challenges. We’ll explore how focusing on signature data, employing linters, indexing codebases, and utilizing GraphRAG can address issues often faced in agent-driven coding environments. We’ll examine examples where models fall short, and show new concepts that resolve these challenges. You’ll leave with a practical understanding of how multi-agent systems are structured, as well as insights on minimizing bugs and enhancing reliability."," You’ll leave with a deep understanding of how advanced multi-agent systems for code generation operate, including solutions to common data modeling challenges. You’ll also discover practical techniques—like using linters, codebase indexing, and graph retrieval-augmented generation—that you can apply to make your own agent systems more reliable and efficient.",,case + business,5.0,"Model dev, training, arch.","Multi-agent systems, Code generation, Data modeling challenges",,https://www.youtube.com/watch?v=68v7rzWpKx4,"Computer Software, Information Technology Services, Other","This session stands out due to its foundation in recent academic research combined with real-world testing. You’ll gain insights from a variety of battle-tested agents—some of which are open source—allowing you to explore the code yourself. The session is a culmination of thorough hands-on research of tools like Devin, OpenDevin, AIDER, and OpenInterpreter.
",MLOps & GenAI World 2024,68v7rzWpKx4
Ramon Perez,Seldon,Developer Advocate,Introduction to Building ML Microservices: A hands-on approach with examples from the music industry,"Serving a machine learning model is not particularly easy, especially if we add two or three models in parallel to the mix, in which case, a single model deployment recipe might start to crumble. To tackle the challenges around serving individual or multiple models in production, we have handy tools like MLServer and Seldon Core. The former is a python library that allows us create machine learning microservices with one or multiple models in the same service, and the latter allows us to build simple-to-complex inference graphs that can help us handle A/B testing, shadow and canary deployment, feature transformations, and model monitoring. If you want to learn how to use open-source tools to build microservices based on your different use cases and model recipes, come and join this hands-on workshop and get started with several of the key steps in the machine learning workflow as we walk through fun examples from the broader music industry.","The core of the workshop will teach participants how to create machine learning microservices and inference graphs, and how to monitor the predictions made by these services. The main use case we'll follow throughout the workshop comes from the music industry, so this will be a fun and content-rich 3 hours to go through. 

Throughout the workshop, we will be building a creative ML platform in several incremental steps. In the first 50 minutes of the workshop, we will set up the user interface and the back-end our application, and then we'll spin up the first model we will interact with. In the second 50-minute section, we will start adding different functionalities to our platform by running new machine learning models inside our inference server. Lastly, we'll create different replicas of each model, develop an inference graph to come up with unique tunes, and conduct AB testing on our service to assess and evaluate the output of different models when compared with real songs.

Within our 3 hours together, we'll have two 10- to 15-minute breaks and there will be plenty of exercises for participants to complete.",-,Workshop,3.0,Deployment and integration,"ML microservices, Inference graphs, Model deployment
","Ramon is a data scientist and educator currently working in the Developer Relations team at Seldon in London. Prior to joining Seldon, he worked as a freelance data professional and as a Senior Product Developer at Decoded, where he created custom data science tools, workshops, and training programs for clients in various industries. Before Decoded, Ramon wore different research hats in the areas of entrepreneurship, strategy, consumer behavior, and development economics in industry and academia. Outside of work, he enjoys giving talks and technical workshops and has participated in several conferences and meetup events.",https://www.youtube.com/watch?v=RsAHprbnIvY,"Computer Software, Information Technology & Service, Marketing & Advertising
",It's an interesting personal problem I wanted to tackle and shows how to overcome lots of technical challenges the audience can relate to.,,RsAHprbnIvY
"Nicolás Venegas Oliva, Cristóbal Guzmán Guzman",LATAM Airlines,"Technical Lead of Advanced Analytics, Staff Data Scientist",Scaling Advanced Analytics in the Worst Crisis in the Industry Area,"For data science teams looking to create real business value with AI – MLOps is not something that’s ‘nice to have’ – It’s a MUST HAVE. To make MLOps work for your organization, you need to have the right tools combined with the right skillset across the different roles, and a unified process. For LATAM Airlines Group, being faced with the worst airline industry crisis following the COVID-19 pandemic, MLOps was imperative. We set off to create a cross-company MLOps strategy and implement it across dozens of use cases. In this talk, we will share our MLOps strategy, provide tips for success, pitfalls to avoid based on our own data science journey and dive into two of our use cases.","Scaling of MLOps teams, impact measurement, selection and training of highly technical teams.",,Case Study,5.0,Introduction to MLOps and GenAI,,"2 years of experience in backend development, 2+ years in data processing and the last 3+ years as Advanced Analytics technical leader at LATAM Airlines. During this time the team has grown from 9 to 48 highly trained professionals. It has also become the team with the highest impact generation within the company and a reference in the region in terms of MLOps and measured business impact through data products.",https://www.youtube.com/watch?v=ICX2Bj9xhGI,,,TMLS 2022,ICX2Bj9xhGI
Rajat Arya,XetHub,Co-founder,AI as an Engineering Discipline,"The field of Artificial Intelligence (AI) has transformed over the last few decades, and has evolved from a deeply mathematical and theoretical discipline into a software engineering discipline. For the first time in history, AI is truly accessible. However, an open question is what is the right way to use AI? What are the engineering best practices around AI? In this talk we first briefly discuss how modern AI came about and how it has changed the rules of Machine Learning development. Then we will try to establish some new guidelines and engineering principles. that will allow you to cut through the noise of AI tooling, and assist in determining what is most effective for your tasks. And we will close with some examples you can apply to your next ML or AI project.","In this talk you should learn how to approach AI/ML development with software engineering principles, recognize that AI development is simply ML development, and have a set of tools and processes to adopt in your next ML project.",,Applied Case Studies,4.0,Introduction to MLOps and GenAI,"AI Engineering, Machine Learning Development, Engineering Best Practices






","XetHub Co-founder with over 20 years of industry experience in various roles including support, engineering, product, and sales. Some highlights include co-designing the ML Data Platform at Apple, shipped 1st version of Microsoft OneDrive, being an early engineer in AWS RDS (scaled database instances 5K-100K), and being the 1st employee of the ML startup GraphLab/Dato/Turi.",https://www.youtube.com/watch?v=7FeuUVp-8V4,"Computer Software, Information Technology & Service, Hospital & Health Care, Banking & Financial Services, Insurance
",,TMLS 2024,7FeuUVp-8V4
Aishwarya Naresh Reganti,Amazon,Applied Scientist,Evaluating LLM-Judge Evaluations: Best Practices,"The use of LLM-based judges has become common for evaluating scenarios where labeled data is not available or where a straightforward test set evaluation isn't feasible. However, this approach brings the challenge of ensuring that your LLM judge is properly calibrated and aligns with your evaluation goals. In this talk, I will discuss some best practices to prevent what I call the ""AI Collusion Problem,"" where multiple AI entities collaborate to produce seemingly good metrics but end up reinforcing each other's biases or errors. This creates a ripple effect.","- Gain insight into what LLM judges are and the components that make them effective tools for evaluating complex use cases.
- Understand the AI Collusion problem in context of evaluation and how it can create a ripple effect of errors.
- Explore additional components and calibration techniques that help maintain the integrity and accuracy of evaluations.",,Advanced Technical/Research,5.0,"Ethics, governance compliance ","LLM judges, AI Collusion problem, Calibration techniques","Aishwarya is an Applied Scientist in the Amazon Search Science and AI Org. She works on developing large scale graph-based ML techniques that improve Amazon Search Quality, Trust and Recommendations. She obtained my Master's degree in Computer Science (MCDS) from Carnegie Mellon's Language Technology Institute, Pittsburgh. Aishwarya has over 6+ years of hands-on Machine Learning experience and 20+ publications in top-tier conferences like AAAI, ACL, CVPR, NeurIPS, EACL e.t.c. She has worked on a wide spectrum of problems that involve Large Scale Graph Neural Networks, Machine Translation, Multimodal Summarization, Social Media and Social Networks, Human Centric ML, Artificial Social Intelligence, Code-Mixing e.t.c. She has also mentored several Masters and PhD students in the aforementioned areas. Aishwarya serves as a reviewer in various NLP and Graph ML conferences like ACL, EMNLP, AAAI, LoG e.t.c. She has had the opportunity of working with some of the best minds in both academia and industry through collaborations and internships in Microsoft Research, University of Michigan, NTU Singapore, IIIT-Delhi, NTNU-Norway, University of South Carolina e.t.c. ",https://www.youtube.com/watch?v=ruwz_OA4XTo,Computer Software,"This session presents the concept of """"AI Collusion"""" specifically within the context of LLM judges, highlighting a unique and often overlooked challenge in AI evaluation. I will explain how this problem emerges and why it's essential to address it.
- Drawing from my expertise, I’ll provide actionable strategies to mitigate AI collusion, focusing on prompting methods, calibration techniques, and additional components.",MLOps & GenAI World 2024,ruwz_OA4XTo
Susan Chang,Elasticsearch,Principal Data Scientist,Growing your ML career via technical writing and speaking: Tips and lessons,"This talk goes through the process of how I started writing about technical topics, leading to fast career growth, building an audience, speaking and keynoting at conferences, and eventually even a book deal. The talk aims to show you how to start, and how to gain career growth opportunities with writing and speaking.

This talk is based on the personal experience of the author of the O'Reilly book, Machine Learning Interviews.","-How to start writing technical content, such as a blog
-How to build an audience through speaking and writing
-Finding opportunities to speak and be published",,Applied Case Studies,2.0,Business and stakeholder alignment,"Technical Writing, Career Growth, Public Speaking
","Susan Shu Chang is a principal data scientist at Elastic, which powers search around the world. Previously, she built machine learning at scale in the fintech, social, and telecom industries. She is the author of Machine Learning Interviews, published by O’Reilly.",https://www.youtube.com/watch?v=QTY8m6IjQRQ,"Computer Software, Information Technology & Service, Other
",,TMLS 2024,QTY8m6IjQRQ
Kallie Levy,Superwise,Software Engineer,A Guide to Putting Together a Continuous ML Stack,We'll take a hands-on dive into implementing the 1st level of MLOps maturity and performing continuous training of the model by automating our ML pipeline. We'll start with the ML pipeline and see how we can detect performance degradation and data drift in order to trigger the pipeline and create a new model based on fresh data.,"See an example of an ML pipeline implementation using Flyte
Deploy model to an endpoint
Define monitoring policies (include some best practices)
Trigger ML pipeline to create a new model based on fresh data ",,Workshop,4.0,Infrastructure and scalability,,"Kallie Levy is an ML and data engineer. She started out working on a data-intensive, near-real-time system for the Israeli Defense Forces. Her greatest dev passions are around high-scale data ingestion and handling data lake and warehouse architecture. Currently, she works as a software engineer at Superwise, an end-to-end machine learning observability platform, and currently works on the development of the system’s entire data lake infrastructure. 
In her free time, she likes to play sports, especially soccer!",https://www.youtube.com/watch?v=N9HjsgK8oI8,,we leverage hands on experience and real life examples from organizations similar to those in the audience,,N9HjsgK8oI8
Arsene Fansi Tchango,Mila - Quebec Institute in Artificial Intelligence,Senior Applied Research Scientist,Towards Trustworthy Automatic Diagnosis Systems by Emulating Doctors’ Reasoning with Deep Reinforcement Learning,"The automation of the medical evidence acquisition and diagnosis process has recently attracted increasing attention in order to reduce the workload of doctors and democratize access to medical care. However, most works proposed in the machine learning literature focus solely on improving the prediction accuracy of a patient's pathology. We argue that this objective is insufficient to ensure doctors' acceptability of such systems. In their initial interaction with patients, doctors do not only focus on identifying the pathology a patient is suffering from; they instead generate a differential diagnosis (in the form of a short list of plausible diseases) because the medical evidence collected from patients is often insufficient to establish a final diagnosis. Moreover, doctors explicitly explore severe pathologies before potentially ruling them out from the differential, especially in acute care settings. Finally, for doctors to trust a system's recommendations, they need to understand how the gathered evidences led to the predicted diseases. In particular, interactions between a system and a patient need to emulate the reasoning of doctors. In this talk, we propose to model the evidence acquisition and automatic diagnosis tasks using a deep reinforcement learning based approach that considers three essential aspects of a doctor's reasoning, namely generating a differential diagnosis using an exploration-confirmation approach while prioritizing severe pathologies. We discuss metrics for evaluating interaction quality based on these three aspects, and demonstrate that the proposed solution performs better than existing models while maintaining competitive pathology prediction accuracy.",Integrating doctor's reasoning in a Machine Learning system,,Technical / Research,4.0,"Model dev, training, arch.","Deep Reinforcement Learning, Medical Evidence Acquisition, Differential Diagnosis","Arsene Fansi Tchango is a senior applied AI scientist at Mila, the Quebec AI Institute. His topics of interest are reinforcement learning, natural languange processing, and the application of deep learning techniques on graphs. Before joining Mila, Arsene obtained his PhD at INRIA, the French National Institute for Research in Digital Science and Technology and spent more than 5 years working in the industry.",https://www.youtube.com/watch?v=7qTRtdJHwHk,"Hospital & Health Care, Information Technology & Service
",Take into account the perspectives of the end-users when designing ML solutions,,7qTRtdJHwHk
Niklas Nielsen,Log10,"CTO, Co-founder",Scale Expert Review by 10x to Ship AI Apps at Lightning Speed,"The time and expense of subject matter expert (SME) review is a major barrier to developing generative AI applications, especially for high-risk use cases such as healthcare, finance, insurance, and more. Log10 scales SME review by 10x or more to accelerate deployment to production.

Our AutoFeedback system customizes domain-specific evaluation models that review LLM completions in real time with near-human accuracy, leveraging proprietary Latent Space Readout technology that needs 90% less data than fine-tuned evaluation model approaches.  With as few as 20 SME-labeled examples, dev teams can rapidly assess and enhance the accuracy of their generative AI app. 

We’ll demo AutoFeedback in a summarization use case, generating scores that assess the quality of CNN news summaries in real time. We’ll show that Latent Space Readout delivers superior accuracy to LLM-as-a-judge, and is cheaper and faster to use than fine tuning an evaluation model with comparable accuracy.

",,,Furture of AI,,Performance optimization and efficiency,"AutoFeedback, Latent Space Readout, SME review","Niklas Nielsen is CTO & Co-founder of Log10.io, a platform that rapidly measures and improves the accuracy of LLM applications by scaling your subject matter experts. Nik previously was Head of Product at MosaicML (acq. Databricks). Prior to that he worked at Intel and Mesosphere on building Distributed Systems deployed at large scale at companies such as Twitter and Apple, and at Adobe on the Virtual Machines and Compilers team. He co-founded CustomerDB, a startup applying AI to product management.",https://www.youtube.com/watch?v=Hg_kuDL5Sfs,,,MLOps & GenAI World 2024,Hg_kuDL5Sfs
Amit Kesarwani,LakeFS,"Director, Solution Engineering",From Chaos to Control: Mastering ML Reproducibility at scale,"Machine learning workflows are not linear, where experimentation is an iterative & repetitive to and fro process between different components. What this often involves is experimentation with different data labeling techniques, data cleaning, preprocessing and feature selection methods during model training, just to arrive at an accurate model.

Quality ML at scale is only possible when we can reproduce a specific iteration of the ML experiment–and this is where data is key. This means capturing the version of training data, ML code and model artifacts at each iteration is mandatory. However, to efficiently version ML experiments without duplicating code, data and models, data versioning tools are critical. Open-source tools like lakeFS make it possible to version all components of ML experiments without the need to keep multiple copies, and as an added benefit, save you storage costs as well."," In this talk, you will learn how to use a data versioning engine to intuitively and easily version your ML experiments and reproduce any specific iteration of the experiment.

This talk will demo through a live code example:
• Creating a basic ML experimentation framework with lakeFS (on Jupyter notebook)
• Reproducing ML components from a specific iteration of an experiment
• Building intuitive, zero-maintenance experiments infrastructure",,Workshop,6.0,Performance optimization and efficiency,"ML reproducibility, data versioning, lakeFS.
","Amit heads the solution architecture group at Treeverse, the company behind lakeFS, an open-source platform that delivers a Git-like experience to object-storage based data lakes. 
Amit has 30+ years of experience as a technologist working with Fortune 100 companies as well as start-ups. Designing and implementing technical solutions for complicated business problems. 
As an entrepreneur, he launched a cloud offering to provide Data Warehouse as a Service. Amit holds a Master’s certificate in Project Management from George Washington University and a bachelor’s degree in Computer Science and Technology from Indian Institute of Technology (IIT), India. He is the inventor of the patent: System and Method for Managing and Controlling Data",https://www.youtube.com/watch?v=MZGSwF4HRlM,"Automotive, Banking & Financial Services, Computer Software, Environmental Services, Food & Beverages, Hospital & Health Care, Information Technology & Service, Insurance, Telecommunications
",,TMLS 2024,MZGSwF4HRlM
Aniket Maurya,Lightning AI,Developer Advocate,Finetuning a large language model on a custom dataset,"This is a hands-on workshop for finetuning large language models using custom dataset. By the end of this workshop, you will learn about parameter efficient finetuning, optimised inference and tricks to finetune models at scale. ",Parameter efficient finetuning and LLM optimisations for very large models.,"Python, PyTorch basics",Workshop,5.0,"Model dev, training, arch.","Finetuning, Large language models (LLMs), Custom dataset





",Aniket is a Developer advocate at Lightning AI. He is an open source enthusiast and contributor to some popular repos like Lit-GPT and Gradsflow.,https://www.youtube.com/watch?v=OsD0KkyYXoY,,,MLOps & GenAI World 2023,OsD0KkyYXoY
Niv Hertz,Aporia,Director Of ML Engineering,Spend Less Time Troubleshooting ML Production Issues,"Business stakeholders are unhappy with the model decisions again? Manual triage takes up a lot of bandwidth from your team every single time? In this workshop, you’ll learn how ML leaders identify and troubleshoot ML issues in production faster than ever. By being more proactive about common types of ML-specific production issues such as model drift, you’ll be able to spend significantly less time troubleshooting and gain peace of mind to focus on cooler, mission-critical projects.","Spend less time and resources on troubleshooting ML production issues. 
Model drift awareness and monitoring 
Improving model decision processes","Basic understanding of machine learning concepts including model development and deployment.
Experience with ML production environments and awareness of common issues such as model drift.
Familiarity with data science research processes and techniques.
Ability to apply analytical and problem-solving skills to identify and address production issues proactively.",,4.0,Performance optimization and efficiency,"ML production issues, Model drift, Troubleshooting
","Niv Hertz is the Director of ML Engineering at Aporia, where he customizes ML observability to support any use case or production need. Niv started his career as a software engineer and cyber-security expert, and now focuses on helping ML teams gain immediate impact from their data and ML pipelines. When off the clock, Niv enjoys hiking and playing or watching basketball.",https://www.youtube.com/watch?v=hTNqD0wi98o,,,MLOps & GenAI World 2023,hTNqD0wi98o
Dan Adamson,Armilla AI,CEO and Cofounder,Testing for fairness in AI HR systems: hidden dangers and real-world lessons on how to detect and prevent bias,"Testing for fairness in AI HR systems: hidden dangers and real-world lessons on how to detect and prevent biasAbstract: HR systems can perpetuate biases and represent a significant risk to organizations and harms to candidates. In this tutorial, we will review how to detect bias issues in HR systems, including resume screening and promotion models with Armilla, a QA for ML tool that is being used for formal assessments, including those under the new New York City bias law. We'll look at hidden biases and common motifs that can cause these systems to fail, as well as suggestions for making these systems more robust.",,,Workshop,3.0,"Ethics, governance compliance ",,"Dan Adamson is the Co-Founder and CEO of Armilla.AI, a company helping institutions create trust in their AI. He co-founded PointChain Technologies, an AI-based neo-banking platform for high-risk industries and was Founder/CEO of OutsideIQ until its acquisition by Exiger, where he remained as their President overseeing product and cognitive computing research. OutsideIQ deployed AML and anti-fraud models to over 100 global financial institutions and built AI solutions for the HR and Insurance industries. He also previously served as Chief Architect at Medstory, a vertical search start-up acquired by Microsoft. Adamson holds several search algorithm and cognitive computing patents, and holds a Master of Science degree from U.C. Berkeley.",https://www.youtube.com/watch?v=mbPo2lTvIK0,,,TMLS 2022,mbPo2lTvIK0
Jinen Setpal,DagsHub,Machine Learning Engineer,Interpretability Tools are Feedback Loops,"Fundamentally - Machine Learning as a field is designed to emulate the way humans think; hence, *neural* networks. When we train our models, we use optimizers and loss functions to measure their success. While these functions make sense mathematically, they are far from intuitive or explaining what happened behind the scenes. It’s hard to pick the correct functions, and performing huge grid searches to hyperparameter tune at scale is as logical as bruteforcing an SHA-256 hash. 

On the other hand - Interpretability techniques can’t really be used in a training context but are intuitive in helping us understand how a given model interprets a set of data. 

This talk aims to bridge the gap between the two, connecting them within a single training loop to maximize training effectiveness without disproportionately increasing compute or training time. Making training intuitive to how humans learn should help develop models that actually work, without resorting to “useless” training.

I aim to showcase - with a practical demonstration - learning techniques to build feedback loops wherein interpretability is used to better optimize a training sequence. I also aim to discuss how this carries forward to complex architectures, and a potential approach for their relevant implementation.

Structurally: the talk would provide an overview on machine interpretability, provide a brief overview on optimizers and loss functions before jumping into the implementation walkthrough of a case study. The case study uses TensorFlow, but can generally be applied to any desired framework.","If, by the end my presentation, attendees are able to identify techniques for applying the proposed approach within their internal systems, or find themselves motivated to further research the ideas presented, I'd consider the talk a success.",,Technical,6.0,"Model dev, training, arch.",,"""I'm a second-year undergraduate studying Data Science at Purdue University. I also work part-time as a Machine Learning Engineer @ DagsHub.

I love research - especially within academia! My interests lie firmly within Machine Vision, NLP & Cybersecurity; so far, I've published some peer-reviewed papers and have pending patents within these domains.""",https://www.youtube.com/watch?v=NeRUtKW-RCo,,"I work extensively on ML Reproducibility. In fact, it is the fundamental work done within my research grant funded by Google. Time and again, I find that papers tend to document the end-result and the problem statement extensively, but not everything in between. That's where the real learning takes place, understanding what DIDN'T work and WHY.

This is rarely ever documented. Papers list working parameters, both functions and hyperparameters, but fail to explain why. I've struggled a lot with this and hope to relay potential solutions through the extent of my presentation.",TMLS 2022,NeRUtKW-RCo
Margo Wu,Georgian,Lead Investor,GenAI Investing in 2024,"An updated overview on the Gen Ai market landscape and investment activity, along with investor insights for fundraising.","An updated overview on the Gen Ai landscape and investment activity, as well as some investor insights for fundraising.",,Business Strategy or Ethics,1.0,Future trends,"GenAI Landscape, Investment Activity, Fundraising Insights
","Margo Wu is a Lead Investor at Georgian, a growth stage investment fund focused on B2B software companies leveraging applied machine learning and artificial intelligence. In her role, she is involved in deal selection, due diligence, post investment support and board governance. Prior to joining Georgian, Margo was a Senior Product Manager at Amazon and previous to this, she co-founded a biotech company called Uma Bioseed and served as the Chief Operating Officer at OneSpout. She started her career in enterprise software consulting at Accenture. Margo completed a double degree in Environment and Business and Chemistry at the University of Waterloo and also earned an MBA at Cornell Johnston Graduate School of Management.",https://www.youtube.com/watch?v=QBNX72rckbc,"Banking & Financial Services
",,TMLS 2024,QBNX72rckbc
